agency_id,route_id,route_name
DIMTS,1635,847DOWN
DIMTS,603,835DOWN
DIMTS,627,85EXTUP
DIMTS,2015,825DOWN
DIMTS,787,822STLDOWN
DIMTS,10488,AIR-08UP
DIMTS,757,205LNKSTLDOWN
DIMTS,14,136LSTLDOWN
DIMTS,138,107UP
DIMTS,10489,901STLDOWN
DIMTS,120,944UP
DIMTS,978,318STLUP
DIMTS,59,236BUP
DIMTS,10490,523STLUP
DIMTS,10491,356STLDOWN3
DIMTS,1563,745STLUP
DIMTS,41,772UP
DIMTS,1281,859UP
DIMTS,46,507CLDOWN
DIMTS,10492,954STLDOWN
DIMTS,10493,972EXTDWN
DIMTS,10494,921AEXTDOWN
DIMTS,2004,886ADOWN
DIMTS,2061,740DOWN
DIMTS,1180,790STLDOWN
DIMTS,10495,887ADOWN
DIMTS,646,628DOWN
DIMTS,2036,AIRPORTEXP08UP
DIMTS,1469,980UP
DIMTS,10057,DW-4STLDOWN
DIMTS,345,114STLUP
DIMTS,1401,764MVSTLDOWN
DIMTS,10496,783AUP2
DIMTS,1109,149DOWN
DIMTS,10497,838ADOWN2
DIMTS,10498,879AUP
DIMTS,455,859STLDOWN
DIMTS,10060,879DOWN
DIMTS,1067,979AUP
DIMTS,780,825UP
DIMTS,10499,522BUP
DIMTS,287,776STLDOWN
DIMTS,10062,GL-91STLDOWN
DIMTS,10500,ML96STLDOWN
DIMTS,10501,MC137UP
DIMTS,547,776UP
DIMTS,1085,891STLDOWN
DIMTS,980,137STLDOWN
DIMTS,511,33LINKSTLDOWN
DIMTS,1002,161ADOWN
DIMTS,45,119LNKSTLDOWN
DIMTS,10502,991STLUP
DIMTS,10503,214LSTLUP
DIMTS,590,103UP
DIMTS,756,940UP
DIMTS,1961,703AUP
DIMTS,10504,991ASTLDOWN
DIMTS,10063,879UP
DIMTS,10505,Â 717STLDOWN2
DIMTS,804,817NEXTUP
DIMTS,2136,835LSTLDOWN
DIMTS,928,752UP
DIMTS,1836,717UP
DIMTS,10506,RL-75STLUP
DIMTS,1172,817NEXTDOWN
DIMTS,324,AIRPORTEXP08STLUP
DIMTS,10507,979LNKSTLDOWN
DIMTS,10508,938BSTLUP
DIMTS,939,114ASTLDOWN
DIMTS,1853,949ADOWN
DIMTS,831,872STLDOWN
DIMTS,431,378DOWN
DIMTS,10509,218LSTLDOWN
DIMTS,1463,434STLDOWN
DIMTS,1551,427DOWN
DIMTS,1706,751DOWN
DIMTS,47,104DOWN
DIMTS,10510,473EDOWN
DIMTS,294,114DOWN
DIMTS,1326,792UP
DIMTS,1288,114ASTLUP
DIMTS,170,824DOWN
DIMTS,788,834STLUP
DIMTS,866,356LNKSTLDOWN
DIMTS,10066,OMS(+)
DIMTS,1433,834DOWN
DIMTS,696,801UP
DIMTS,10511,901ADOWN
DIMTS,432,836ESTLUP
DIMTS,795,844UP
DIMTS,10067,GL-23UP
DIMTS,10512,863ADOWN2
DIMTS,549,708STLDOWN
DIMTS,1824,534UP
DIMTS,1718,719STLDOWN
DIMTS,1216,774BUP
DIMTS,1310,801STLUP
DIMTS,25,790BDOWN
DIMTS,839,185LSTLDOWN
DIMTS,236,578CDOWN
DIMTS,10513,MC137DOWN2
DIMTS,893,728EDOWN
DIMTS,10514,794LSTLUP
DIMTS,10515,116ADWN
DIMTS,251,990CLUP
DIMTS,1774,156STLUP
DIMTS,469,886AUP
DIMTS,2072,412STLDOWN
DIMTS,1003,254DOWN
DIMTS,10070,569DOWN
DIMTS,1257,790UP
DIMTS,10516,781UP2
DIMTS,959,817NSTLUP
DIMTS,234,886UP
DIMTS,443,236DOWN
DIMTS,10517,794STLUP2
DIMTS,1839,940STLDOWN
DIMTS,1406,270STLUP
DIMTS,367,715UP
DIMTS,29,849STLUP
DIMTS,220,715DOWN
DIMTS,437,784STLDOWN
DIMTS,2127,918DOWN
DIMTS,10074,908DOWN
DIMTS,1926,836STLDOWN
DIMTS,262,801STLDOWN
DIMTS,806,966UP
DIMTS,2031,923UP
